oa_2011_code,ratio_oa_intersection_com
S00110270,1
S00110763,1
S00110338,1
S00109845,1
S00109849,1
S00110830,1
S00110810,1
S00109790,1
S00111618,0.1254435
S00110762,1
S00109806,1
S00111951,1
S00111979,1
S00110389,1
S00111984,1
S00109901,1
S00110571,1
S00110746,1
S00110379,1
S00110649,1
S00110668,1
S00111404,1
S00109029,1
S00110638,1
S00109906,1
S00110692,1
S00110642,1
S00109027,0.5268122
S00109783,1
S00109885,0.4952683
S00110745,1
S00110382,1
S00110391,1
S00110624,1
S00110802,1
S00110287,1
S00110384,1
S00111335,0.0644725
S00111361,1
S00111372,1
S00110699,1
S00110377,1
S00110282,1
S00111354,0.1076889
S00110387,1
S00111344,0.3306704
S00111994,1
S00110373,1
S00111452,1
S00110304,1
S00110844,1
S00110297,1
S00111297,1
S00110796,1
S00109023,1
S00110969,1
S00110727,1
S00111377,1
S00110577,1
S00110376,1
S00110755,1
S00110838,1
S00112128,1
S00109803,1
S00110852,1
S00110721,1
S00110743,1
S00110970,1
S00110319,1
S00110750,1
S00110809,1
S00110644,1
S00111451,1
S00110815,1
S00110593,1
S00109905,1
S00110726,1
S00110253,0.908237
S00110349,1
S00110572,1
S00110625,1
S00109847,1
S00109843,1
S00111558,1
S00110978,1
S00110254,0.7581982
S00109782,1
S00110285,1
S00109810,1
S00109815,1
S00109902,1
S00111946,1
S00110707,1
S00110729,1
S00109778,1
S00110752,1
S00110652,1
S00110821,1
S00110703,1
S00112004,1
S00110623,1
S00111635,1
S00109040,0.00654
S00112015,1
S00110790,1
S00110795,1
S00111868,1
S00110816,1
S00110321,1
S00112119,1
S00110686,1
S00110394,1
S00110712,1
S00111414,1
S00110634,1
S00111858,1
S00111865,1
S00110768,1
S00110739,1
S00110717,1
S00110604,1
S00110658,1
S00109839,1
S00110764,1
S00109019,1
S00110257,1
S00110280,1
S00110269,1
S00110966,1
S00111369,1
S00110612,1
S00110688,1
S00109779,1
S00110266,1
S00111943,1
S00110339,1
S00111627,1
S00109873,0.3040842
S00110728,1
S00110316,1
S00109910,1
S00109836,0.8677389
S00110724,1
S00111309,1
S00110300,1
S00110632,1
S00110340,1
S00110822,1
S00109904,1
S00110587,1
S00110659,1
S00110292,1
S00110284,1
S00110723,1
S00110667,1
S00111980,1
S00111429,1
S00110738,1
S00111416,1
S00110812,1
S00109894,1
S00110637,1
S00111370,1
S00109818,1
S00111305,1
S00110784,1
S00111471,0.9999775
S00110289,1
S00110333,1
S00109893,1
S00111986,1
S00110626,1
S00111371,1
S00110331,1
S00111367,1
S00110622,1
S00109868,1
S00112008,1
S00110341,1
S00110627,1
S00111936,1
S00110817,1
S00110693,1
S00110775,1
S00111857,1
S00111983,1
S00110260,1
S00112000,1
S00110655,1
S00110301,1
S00111418,1
S00110255,1
S00110843,1
S00110613,1
S00111621,1
S00110737,1
S00110720,1
S00110580,1
S00110695,1
S00111871,1
S00110820,1
S00110824,1
S00111304,1
S00110719,1
S00111941,1
S00110819,1
S00110794,1
S00110725,1
S00109814,1
S00110849,1
S00110286,1
S00110641,1
S00111428,1
S00111430,1
S00111935,1
S00109812,1
S00111982,1
S00110709,1
S00110777,1
S00110671,1
S00109799,1
S00112129,1
S00110736,1
S00110744,1
S00110335,1
S00112011,1
S00111999,1
S00110673,1
S00111417,1
S00110334,1
S00110610,1
S00109870,0.3056553
S00110734,1
S00110708,1
S00109835,0.1934854
S00111630,1
S00111422,1
S00110808,1
S00109801,1
S00110323,1
S00110328,1
S00109911,1
S00110251,1
S00110583,1
S00110654,1
S00110576,1
S00110567,1
S00109841,1
S00111415,1
S00110608,1
S00110595,1
S00111366,1
S00110568,1
S00110715,1
S00110574,0.6429309
S00109780,1
S00109837,0.7923482
S00109049,0.6439539
S00110324,1
S00112131,1
S00110628,1
S00111345,1
S00109008,0.8131875
S00111341,1
S00108982,1
S00111352,1
S00111350,1
S00111346,1
S00111343,1
S00111347,1
S00111406,1
S00111410,1
S00111407,1
S00111330,0.833772
S00109022,1
S00109020,1
S00109021,1
S00111864,1
S00109016,1
S00109018,1
S00110678,1
S00111421,1
S00111990,1
S00110771,1
S00110676,1
S00110674,1
S00110767,1
S00110766,1
S00108981,1
S00108986,1
S00108979,1
S00108984,1
S00108985,1
S00111932,0.9992249
S00109807,1
S00110570,0.6088763
S00110383,1
S00110283,1
S00110645,1
S00110643,1
S00110386,1
S00110374,1
S00110288,1
S00111998,1
S00110573,1
S00111348,1
S00111722,1
S00109820,1
S00111867,1
S00110858,1
S00111363,1
S00110275,1
S00110350,1
S00110733,1
S00126111,0.0309106
S00126112,0.0211919
S00126118,0.3373725
S00126109,0.0473108
