com,church_of_scotland,roman_catholic,other_christian,buddhist,hindu,jewish,muslim,sikh,other_religion,no_religion,religion_not_stated
a7,15315.197278,2869.5357726,2408.7257806,116.8574894,41.2194405,15.1970736,130.8176835,8,138.7631383,16789.8192488,3125.1393679
central_fife,24538.746961,7576.9048563,3240.6657648,110.68668,42.3056553,17,542.1101225,81.4487134,246.5420508,41710.4449148,5524.8780532
dundee,5206.7704942,4181.3449528,714.1444113,8.0406519,22.5777592,2.1700947,143.3731409,1,36.1365496,8202.5473787,1166.2642162
west_highlands,1193.9824521,350.4201202,378.3992273,7.7006948,0.9956149,1.4615448,19.152202,0.7282745,12.6394137,1173.2189321,267.6283773
