com,african_carribbean_black,asian,mixed,other,white
a7,241.5526788,649.760412,118.0851944,133.0085744,80658.0524924
central_fife,414.144711,2060.2826716,165.2519575,100.4274598,164358.1087868
dundee,148.330439,303.6755166,48.6350221,44.2629022,38775.200397
west_highlands,8.0968826,51.7291968,2.0084714999999997,9.2585736,6739.5521114
