com,very_good,good,fair,bad,very_bad
a7,20938.6584977,12933.107958,5180.7244574,1489.4873501,417.29401
central_fife,39756.3957757,26527.9129452,11975.7281571,4180.5505991,1191.146295
dundee,10172.5177258,5898.4406445,2447.6544933,872.8499362,292.9068497
west_highlands,1700.0885039,1070.3403041,477.4587804,118.0320037,40.4072616
